"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves,Views
18081294538515856,17841407868310918,kan_news,"כאן חדשות","סתיו גטה ז""ל נרצחה כשהייתה בדרכה הביתה מהנובה, אמה אתי מגדלת את ילדיה נווה וריף הקטנים: ""כל עוד אני חיה הם לא ישכחו אותה"" 

@ifatamiel",76,"12/23/2024 09:01",https://www.instagram.com/reel/DD7bElgMuON/,"IG reel",,Lifetime,89313,5927,256,13,242,157,140982
18049607081489411,17841407868310918,kan_news,"כאן חדשות","נתניהו: ""יש התקדמות במגעים לעסקה - אינני יודע כמה זמן זה ייקח""

@dikla_aharon @shapirayaara",49,"12/23/2024 08:02",https://www.instagram.com/reel/DD7UVxrx8Ts/,"IG reel",,Lifetime,23145,680,21,3,186,17,36168
18065492692793983,17841407868310918,kan_news,"כאן חדשות","הנגד המואשם בפרשת המסמכים👇

הותר היום לפרסום כי ארי (אהרון) רוזנפלד, הוא הנגד שנאשם בפרשת המסמכים המסווגים בלשכת ראש הממשלה. ארי ביקש להתיר את פרסום שמו, שהיה אסור בפרסום מתוקף היותו נגד בחיל מודיעין.

המדינה התנגדה לפרסום פרטיו, אולם השופט אמר שעל אף שאינו מקל ראש בטיעוני התביעה, ניתן לאזן בין הדברים עם פרסום שמו ופרטיו, תוך שנאסר פרסום מידע לגבי דרגתו ותפקידו ""במובן זה שייאסר פרסום לגבי תחומי הפעילות והזירות בהן עסק או המתחה במהלך שירותו"".

בהחלטתו פירט השופט עלאא מסארווה את המניעים להטיית הכף לטובת הפרסום. צעד זה נחשב ליוצא דופן, מאחר והנאשם עצמו ביקש את איסור הפרסום. שכן לזכותו האפשרות לקדם את הגנתו ומכאן גם זכותו להתייצב בשמו ובפרטיו, וזכות הציבור לדעת.

העובדה שממילא רבים מהפרטים כבר פורסמו, לעניין זה קבע השופט מסארווה כי על אף שבדרך כלל ""הסוסים שברחו מהאורווה"" (כלומר אי אפשר לחזור אחורה) הוא טיעון עם משקל מוגבל, מאחר שבמקרה הזה הנסיבות שונות; גם העובדה שהנגד עדיין עצור, הקטינה את החשש לפגיעה בביטחון המדינה, כפי שטענו בתביעה.

כנימוק חמישי, כתב השופט כי איסור השם והפרטים אל מול רצונו של הנאשם, עלול להיתפס כמהלך פטרנליסטי. לסיום קבע השופט כי כאמור ניתן לצמצם את הפגיעה על ידי צמצום הפרטים המותרים לפרסום.

אי לכך, איפשר השופט את פרסום השם, אולם עיכב זאת עד היום כדי לאפשר למדינה להגיש ערר, אלא אם המדינה הייתה מודיעה עוד קודם
@almogtamar",0,"12/23/2024 07:18",https://www.instagram.com/p/DD7PV_7uBse/,"IG image",,Lifetime,39348,855,20,0,50,28,53508
18332066101155946,17841407868310918,kan_news,"כאן חדשות","""מי שמאיים על המפכ""ל פוגע בדמוקרטיה"" 👇

יו""ר מפלגת הדמוקרטים יאיר גולן פנה למפכ""ל דני לוי: ""תעצור לפני שיהיה מאוחר מדי. לא לעולם חוסן, אם צריך - גם איתך נבוא בחשבון"".

בן גביר הגיב ואמר שהדברים הם ""חציית קו אדום מסוכנת ואיום בלתי נסבל על שלטון החוק"", גם שרים נוספים מהקואליציה יצאו נגד דבריו של גולן

@yaara.shapira.1
צילום: ערוץ הכנסת",38,"12/23/2024 06:22",https://www.instagram.com/reel/DD7I68QOTuN/,"IG reel",,Lifetime,18703,780,49,1,402,21,29531
18012137387663411,17841407868310918,kan_news,"כאן חדשות","בעקבות תלונות של חיילים על מח""ט צנחנים אל""מ עמי ביטון, בצה""ל ערכו תחקיר על התנהלותו - והוא ננזף בידי אלוף פיקוד מרכז על יחס לא ראוי ואפליה בין מפקדים בחטיבה עד לכדי התעמרות. 

באשר ליתר הטענות שנשמעו - בין השאר, על סיכון לוחמים ואי חתירה למגע - בצה""ל אמרו שהן ""לא הגיעו לידי טיפול משמעתי""

@menashecarmela  @ItayBlumental
צילום: דובר צה""ל",0,"12/23/2024 04:40",https://www.instagram.com/p/DD69R-HK0Os/,"IG image",,Lifetime,42601,1316,62,0,39,25,54867
18113103397432387,17841407868310918,kan_news,"כאן חדשות","""המקור הכי טוב בעולם"": מנהל ערוץ הטלגרם ""חדשות בזמן"" טוען שקיבל מידע מראש על חיסול נסראללה - דרך רעיית ראש הממשלה שרה נתניהו
איטה גליקסברג",96,"12/23/2024 01:53",https://www.instagram.com/reel/DD6qIynpOrr/,"IG reel",,Lifetime,61098,3220,1293,32,302,292,109364
18078594946595864,17841407994705156,nurityohanan,nurit,"במליציות הפרו איראניות בעיראק מודים: עצרנו את הפעולות נגד ישראל",46,"12/23/2024 00:27",https://www.instagram.com/reel/DD6gUGxtWUr/,"IG reel",,Lifetime,17219,311,24,3,11,0,27075
18056191690797813,17841464234747957,kan_reshetb,"כאן רשת ב","הנגד א' מבקש חנינה מנשיא המדינה הרצוג: ""הוא חף מפשע. אנחנו מודים שהוא לא היה צריך לפעול כמו שפעל, אבל זה לא עולה לכדי עבירה פלילית""

#קלמןליברמן",0,"12/22/2024 23:39",https://www.instagram.com/p/DD6a4PMsglA/,"IG carousel",,Lifetime,31777,653,33,1,32,0,57849
18046461440327498,17841407868310918,kan_news,"כאן חדשות","💥 לראשונה: שני סוכני מוסד חשפו את אחד המבצעים המתוחכמים בתולדות הארגון

בראיון נדיר לתוכנית ""60 דקות"" ב-CBS, הם סיפרו איך הצליחו לרמות את חיזבאללה במשך עשור שלם - ולגרום לארגון לקנות אלפי מכשירי קשר ממולכדים. המוסד הקים חברות דמה, זייף פרסומות, שכר סוכנת מכירות אמיתית והמתין בסבלנות. התוצאה: מבצע שגרם לחיזבאללה ""להתחנן להפסקת אש""
@nathanguttman",0,"12/22/2024 20:00",https://www.instagram.com/p/DD6BwoZCmah/,"IG carousel",,Lifetime,61026,3564,300,0,54,165,97812
18022371089558394,17841407868310918,kan_news,"כאן חדשות","נערה בת 17, בלי מחלות רקע או גורמי סיכון, נפטרה בבית החולים לאחר שחלתה בשפעת ומצבה החריף. לאחרונה הצטברו כמה מקרים מטרידים של ילדים בריאים שחלו בשפעת שהסתבכה ומצבם קשה מאוד, בהם ילד בן עשר שחובר למכונת אקמו. 

הנערה שנפטרה בבית החולים שערי צדק בירושלים הייתה גם היא מחוברת למכונת אקמו במשך כמה שבועות, והרופאים נלחמו על חייה. המומחים למחלות זיהומיות מתריעים כי מדובר בהצטברות מקרים מדאיגה, שכן נדיר שילדים בריאים ללא מחלות מתים משפעת. 

פרופ’ גליה רהב, יו”ר האיגוד למחלות זיהומיות, ציינה שכל הילדים שמצבם קשה חלו בשפעת מזן B, זן שבדרך כלל אינו מוגדר זן אלים במיוחד. יש לציין כי הילדים שמצבם הסתבך לא חוסנו נגד שפעת. מנתוני משרד הבריאות עלה כי שיעור ההתחסנות בקרב הילדים אינו גבוה ועומד כרגע על כ-10%, וכעת רופאים רבים קוראים להורים לחסן את ילדיהם

@kettydor
צילום: יוסי זמיר, פלאש90",0,"12/22/2024 11:53",https://www.instagram.com/p/DD5KFWxIFde/,"IG carousel",,Lifetime,76051,2131,1041,4,118,151,125377
17937655910951003,17841407868310918,kan_news,"כאן חדשות","עוד עשרה ימים הכול הולך להתייקר. על מה נשלם ב-2025 יותר, וכמה? האם בעלי העסקים יגלגלו את ההתייקרויות עלינו, הצרכנים? ואיך נוכל בכל זאת לחסוך? @dana_yarkechy יצאה לבדוק, בסדרת כתבות שתשודר הערב ובשבוע הקרוב בחדשות הערב בכאן 11",75,"12/22/2024 09:13",https://www.instagram.com/reel/DD43s-8PqVj/,"IG reel",,Lifetime,29451,891,146,4,185,36,43670
18049780394483744,17841407868310918,kan_news,"כאן חדשות","אולי אנחנו לא כאלה שונים זה מזה? אמא של החטוף רן גואילי ואמא של החטופה רומי לשם גונן נפגשו לשיחה על המאבק להשבת ילדיהם ❤️

@moavvardi",358,"12/22/2024 04:31",https://www.instagram.com/reel/DD4W9xroKzO/,"IG reel",,Lifetime,69721,2991,117,4,115,182,108249
18298735897231998,17841407868310918,kan_news,"כאן חדשות","אזהרת טריגר - תמונות ותיאורים קשים ⚠️

משפחתה של ניצולת הנובה שיראל גולן ז״ל טוענת כי חודשים ספורים לפני ששמה קץ לחייה, היא חוותה אלימות קשה ממאבטחי בית החולים הפסיכיאטרי ״לב השרון״. 

אייל, אחיה של שיראל, סיפר שאחותו חוותה התקף חרדה לאחר ששמעה שניים מאנשי צוות בית החולים מדברים בניהם בערבית. בזמן ההתקף, לטענתו, המאבטחים נהגו כלפיה באלימות: ״הם הגיעו אליה ראשונים ובמקום לקרוא לצוות רפואי או למטפלים, הם פשוט - אין לי תיאור אחר לזה - פוצצו אותה במכות. אמא שלי הגיעה ביום למחרת, ראתה את החבלות וצילמה אותן״. 

האח הוסיף: ״שיראל נכנסה לרגרסיה בעקבות המכות. כל מקום טיפולי כזה או אחר הוא סכנה. היא פשוט חוותה את 7 באוקטובר מחדש״.

בית החולים ״לב השרון״ החליט להקים ועדת בדיקה לאירוע שתיאר האח

@kereneubach
צילום: באדיבות המשפחה",0,"12/22/2024 02:37",https://www.instagram.com/p/DD4KcowIYvW/,"IG carousel",,Lifetime,288476,6389,716,10,430,383,419920
