"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18033208109349025,17841407868310918,kan_news,"כאן חדשות","המילואימניקים נמצאים כבר שנה שלמה בסבבי מילואים - אבל לא מתלוננים. יצחק מתגעגע לאמא, אבא ולימי שישי בבית ❤️

@itsik_z",19,"11/10/2024 00:21",https://www.instagram.com/reel/DCLxbwitsOs/,"IG reel",,Lifetime,56858,34697,3054,41,0,118,64
18047926867849082,17841400092370025,shaul_amsterdamski,"Shaul Amsterdamski | שאול אמסטרדמסקי","עאלק שני שקלים. הנה האמת מאחורי העלאת התעריפים בתחבורה הציבורית שתיפול עלינו בינואר",178,"11/10/2024 00:20",https://www.instagram.com/reel/DCLwKyPNLNA/,"IG reel",,Lifetime,178357,107858,11039,1358,622,464,0
17951290541753253,17841407868310918,kan_news,"כאן חדשות","ניסיון חטיפה של ילד חרדי בלב ניו יורק 👇

בתיעוד מדאיג שהתפרסם ברשת, נראה אדם חרדי צועד ברחובות שכונת קראון הייטס שבברוקלין עם שני ילדיו - כשלפתע רעול פנים שחולף על פניהם מנסה למשוך מידיו את אחד הילדים. כעבור זמן קצר החשוד נעצר בידי משטרת ניו יורק

@nathanguttman 
צילום: השומרים",4,"11/09/2024 23:32",https://www.instagram.com/reel/DCLr3xeod1H/,"IG reel",,Lifetime,160245,63705,2121,578,5,94,91
17921606675989322,17841407868310918,kan_news,"כאן חדשות","""חיכו לנו בסמטה"": צוות כאן 11 אוים על ידי פרו-פלסטינים באמסטרדם - ופונה בידי שוטרים
@michalresh2023",30,"11/09/2024 12:21",https://www.instagram.com/reel/DCKe-kAqtdM/,"IG reel",,Lifetime,74850,41805,1778,57,4,85,75
18204834190293523,17841407868310918,kan_news,"כאן חדשות","פרטים חדשים מפרשת החשד לסחיטה בלשכת נתניהו: על פי התלונה שהוגשה לרמטכ”ל, תיעוד רגיש של קצין שעבד עם לשכת רה”מ הושג ממצלמות האבטחה במשרד רה”מ ואנשי הלשכה נתנו לעובדים לצפות בו. גורמים שבקיאים בפרטי התלונה אמרו לכאן חדשות כי “הפצה פנימית של התיעוד העלתה חשש לניסיון סחיטה של הקצין, שעבד עם לשכת ראש הממשלה והחזיק במידע רגיש”.

במסגרת התלונה עלתה גם השאלה כיצד הגיע התיעוד הרגיש מהמצלמות ללשכת ראש הממשלה, ומדוע נעשה בו שימוש שכזה. גורם שנחשף לפרטים אמר כי “לשכת ראש הממשלה התנהגה בצורה עבריינית, אנשי הלשכה צריכים לשלם את המחיר”.

@shemeshmicha",0,"11/09/2024 11:32",https://www.instagram.com/p/DCKZe6VoyuW/,"IG carousel",,Lifetime,83074,40334,1206,19,2,106,42
17902163147984632,17841407868310918,kan_news,"כאן חדשות","בן שירת בעוקץ כחייל בודד, כלבו ג'ק הציל את חייו🐕‍🦺
@ifatamiel",46,"11/09/2024 10:31",https://www.instagram.com/reel/DCKSZ0cNEOH/,"IG reel",,Lifetime,75999,42550,2377,260,3,73,102
18121358197397754,17841407868310918,kan_news,"כאן חדשות","מבצע החילוץ מהולנד הושלם: יותר מ-2,000 ישראלים הוחזרו לארץ באמצעות 10 טיסות חילוץ. חקירת הפרעות עדיין בעיצומה, מתוך 63 פורעים שנעצרו - רק 4 נותרו במעצר. ברויטרס דווח כי 40 מהחשודים בפרעות נקנסו על הפרעה לשלום הציבור ו-10 מהם חשודים בפשעים הכוללים ונדליזם. יש צפי לעצורים נוספים.

גורמי הביטחון השונים זיהו כבר אתמול בערב ""התלקחות"" ברשתות החברתיות בהולנד וקריאה ספונטנית של גורמים פרו-פלסטינים לקיום הפגנה אלימה. המוסד העביר התרעה לגורמי הביטחון בארץ ובהולנד, עם בקשה לתגבר מיד ובאופן משמעותי את האבטחה על הישראלים באזור האצטדיון וברחבי העיר, תוך מתן דגש על בתי מלון בהם ידוע כי שוהים אוהדים. בשלב זה, המל""ל טרם תודרך לגבי הפעילות, ולכן גם לא הופץ מסר לציבור. בישראל ציינו שהאירועים לא הוכוונו על ידי איראן או שלוחיה וכי מדובר באירוע ספונטני ביוזמת גורמים איסלמיים בהולנד.

בתוך כך, במטה לביטחון לאומי עדכון בודד העוסק באיום ממוקד כלפי אזרח ישראלי, חייל מג""ב לשעבר, שהגיע למשחק באמסטרדם והותקף על ידי פרו-פלסטינים, דרכונו נגנב ופרטיו פורסמו ברשתות החברתיות כיעד לפגיעה. בשל חשש שגורמי טרור ינצלו את זה ויפגעו באותו אזרח ישראלי, נערכה התייעצות עם גורמי הביטחון.

מעדויות שהגיעו מאמסטרדם עלה כי מוסלמים צדו יהודים סמוך לבתי מלון, בתי קזינו ומקומות מרכזיים בעיר. ישראלים דיווחו על נעדרים, צילומים של דרכוני ישראלים שנגנבו הופצו ברשתות. כ-3,000 ישראלים בסך הכול טסו למשחק. ""הם חיכו בחבורות בכל פינה, וברגע שזיהו יהודים - הם רדפו אחריהם"", סיפר ישראלי שהיה במקום. ""אחרים חיכו ליד מלונות וליד הקזינו בחבורות יותר גדולות, וגם שם תקפו אוהדים. אחר כך אחרים עברו עם מכוניות ולא הפסיקו לצפור ליד מלונות שיש בהם ישראלים"".

@gilicohen10 @suleimanmas 
צילום: יונתן שאול, פלאש 90",0,"11/09/2024 09:38",https://www.instagram.com/p/DCKMd0sRT1R/,"IG carousel",,Lifetime,86587,51384,2996,54,1,50,46
18092403361494932,17841407868310918,kan_news,"כאן חדשות","מפגין בן 64 נדרס במהלך חסימת כביש ליד מחלף ינאי ב""ליל גלנט 2"" - ועדיין מורדם ומונשם על פי משפחתו. לפי עדי ראייה, רכב מסחרי לבן פגע במפגין שירד לחסום כביש ולכאורה נמלט מהמקום אחר כך. האירוע התרחש ב-21:20 בכביש החוף סמוך למחלף ינאי. טרם נעצרו חשודים. 

ממשטרת ישראל נמסר: ""מדובר בתאונה שהתרחשה עם תחילת ההפגנה טרם הגעת ניידת, כאשר הקורבן ירד לכביש בשעת לילה, נפגע מרכב חולף ופונה לבית החולים במצב בינוני - קל. בוחן התנועה במרחב שרון שהגיע למקום ביצע מספר פעולות חקירה ועמד בקשר עם משפחת הקורבן. חקירת המקרה נמשכת תוך מיצוי כלל הכלים העומדים לרשות המשטרה"".

@Anna.pines
צילום: חיים גולדברג, פלאש 90",0,"11/09/2024 08:13",https://www.instagram.com/p/DCKCtR1R87t/,"IG image",,Lifetime,82602,60069,1976,47,0,256,40
18333408436150449,17841407868310918,kan_news,"כאן חדשות","ביום ה-400 למלחמה ולשבי של 101 חטופים: קטר הודיעה לישראל ולחמאס כי היא תפסיק לשמש כמתווכת במשא ומתן לעסקה. ההודעה של קטר כוללת גם האשמות חריפות נגד ישראל ונגד ארגון הטרור חמאס. ״ההחלטה בקטר התקבלה אחרי ששני הצדדים סרבו להשתתף במשא ומתן״, הסביר גורם דיפלומטי המעורה בשיחות, ״אין נכונות משני הצדדים למאמצי התיווך, שהפכו להיות יותר פוליטיקה ופעילות בחירות מאשר ניסיון אמיתי להבטיח שלום״. 

בנוסף, הגורם הדיפלומטי אישר את חשיפת כאן חדשות כי קטר מגרשת את הנהגת חמאס משיטחה. ""המשרד המדיני של חמאס אינו משרת עוד את מטרתו״, הסביר הגורם. לדברי גורם אמריקני, הודעת קטר מגיעה בעקבות הסירוב המתמשך של חמאס לעסקה לשחרור חטופים, כולל העסקה החלקית שנידונה לאחר חיסול סינוואר. ""למנהיגי חמאס אין יותר מקום בבירת מדינה שהיא פרטנרית של ארצות הברית"", טען הגורם האמריקני.

גורם מדיני ישראלי מסר בעניין גירוש הנהגת חמאס מקטר: ""מברכים על המהלך ועל ההחלטה של קטר. שום מדינה לא צריכה לארח גורמי טרור - חמאס צריך להיות ארגון נרדף"". בנוסף, הגורם טען כי ""להפסקת התיווך הקטרי אין משמעות - ההחלטות הקשות צריכות להתקבל על ידי הצדדים במילא"".

@gilicohen10 
צילום: יונתן זינדל, פלאש 90",0,"11/09/2024 06:43",https://www.instagram.com/p/DCJ4XyQRtvz/,"IG image",,Lifetime,84952,58658,1958,53,0,83,47
18145836436352601,17841407868310918,kan_news,"כאן חדשות","המסע המדהים של הלוחשת לכלבים
@nataliemetoko",81,"11/09/2024 05:36",https://www.instagram.com/reel/DCJwqxsteds/,"IG reel",,Lifetime,221131,148051,7035,408,29,105,209
18045747956487727,17841407868310918,kan_news,"כאן חדשות","הולכת בדרכה: טליה מתגייסת להיות תצפיתנית – בדיוק כמו בת דודתה שי אשרם ז״ל שנפלה בנחל עוז ב-7 באוקטובר 💔
@nofarji",57,"11/09/2024 01:00",https://www.instagram.com/reel/DCJRJpIsQ0W/,"IG reel",,Lifetime,83294,49136,3292,82,1,106,109
18064600927671018,17841407868310918,kan_news,"כאן חדשות","בשעה שיש מי שחזרו לשגרה כלשהי בצל המלחמה - תושבי ניר עוז מתקשים להשתחרר מהטראומה ומאימת המחבלים. ערן, חבר כיתת הכוננות בקיבוץ, חושב ללא הפסקה על חברו דוד קוניו שנמצא כבר יותר משנה במנהרות חמאס ממש מעבר לגדר, כל כך קרוב - וכל כך רחוק
@alon__sharvit",31,"11/08/2024 13:00",https://www.instagram.com/reel/DCH-vo8pACw/,"IG reel",,Lifetime,142730,78391,5262,316,9,110,167
18101721205454362,17841407868310918,kan_news,"כאן חדשות","קטר הבהירה לחמאס - אתם לא רצויים פה 👇

קטר הבהירה לבכירי חמאס בשטחה כי הם אינם רצויים. כך חשפה גילי כהן בחדשות שישי בכאן 11. גורם המעורה בנושא אמר לכאן חדשות כי המהלך מתרחש עקב לחץ אמריקני כבד.

שלושה גורמים אמרו לכאן חדשות כי המהלך מבוצע בימים האחרונים - אחד מהם טען כי מדובר בלחץ מצד ארצות הברית. קטר הבהירה בעבר כי נוכחות הנהגת חמאס במדינה נועדה ליצור שיח מול ארגון הטרור, כמו לדוגמה בעת המשא ומתן לשחרור חטופים.
@gilicohen10",0,"11/08/2024 11:52",https://www.instagram.com/p/DCH29vRCXzK/,"IG carousel",,Lifetime,107360,60066,3056,105,3,104,117
18108914254437772,17841407868310918,kan_news,"כאן חדשות","משמרות המהפכה של איראן הורו בספטמבר לפעיל איראני לרצוח את טראמפ, כך לפי מסמכי תביעה. פעיל איראני אחר אמר כי ממנו ביקשו להתמקד במעקב אחר טראמפ ורציחתו ברגע הנכון. לפי הדיווח, משמרות המהפכה הבטיחו לחשודים כסף רב בתמורה לביצוע המשימה. 

לפי הניו יורק טיימס, מסיח אלינז'אד, עיתונאית איראנית-אמריקנית הייתה היעד השני בחיסול לאחר הנשיא הנבחר.",0,"11/08/2024 10:24",https://www.instagram.com/p/DCHs31FCDzP/,"IG image",,Lifetime,65693,50150,2895,216,2,42,65
18061950385813108,17841407868310918,kan_news,"כאן חדשות","אלון אהל בן ה-23 נחטף ממיגונית המוות, וכבר יותר משנה שאמא שלו מתלבטת איך נכון לפעול כדי להביא לשחרורו – ולא שופטת אף משפחה שפועלת אחרת ממנה
@chen_beyar",61,"11/08/2024 09:01",https://www.instagram.com/reel/DCHjURgPOAS/,"IG reel",,Lifetime,56446,37725,2610,136,1,54,66
18104779027445098,17841407868310918,kan_news,"כאן חדשות","חילופי משמרות: אחרי שפוטר בפעם השנייה בקדנציה הנוכחית - כשבפעם הראשונה לפני כשנה וחצי הפיטורים בוטלו - שר הביטחון יואב גלנט מסיים את תפקידו ומעביר את השרביט לשר החוץ היוצא ישראל כ""ץ. 

בטקס חילופי התפקידים אמר גלנט: ""מרחק של חודשים בודדים בלבד מפרידים בין מראות ה-7 באוקטובר, שימשיכו ללוות אותי, את כולנו, עד יומי האחרון, לבין ההצלחות חסרות התקדים שרשמה מערכת הביטחון ברחבי המזרח התיכון"". 

""אני מסיים את התפקיד עם כאב גדול על האובדן, ועל מה שעדיין לא הושלם - השבת החטופים, אך גם עם תחושה של הישג ומשמעות, על מה שנעשה כאן,  תחת אחריותי בשנתיים האחרונות - ביסוס מציאות אסטרטגית חדשה וטובה יותר למדינת ישראל"". 

שר הביטחון החדש כ""ץ אמר: ""באתי כדי לשאת באחריות, מתוך חרדת קודש ומתוך הבנת החשיבות. אהיה המגן של צה""ל"". שיהיה בהצלחה!

@dikla_aharon @itayblumental 
📷: Ap",0,"11/08/2024 06:28",https://www.instagram.com/p/DCHR2wWxiav/,"IG carousel",,Lifetime,75758,40276,1515,31,1,109,41
