video_id,date,time,type,title,duration_sec,views,likes,comments,shares,whatsapp_shares,saves,downloads,total_engagement,engagement_rate,is_pinned,permalink,pulled_at,views_delta
7661195784351665429,2026-07-11,12:12,Video,"הקרב על השבת בירושלים 👇 שבוע לאחר העימותים שעוררו סערה, עשרות חרדים הגיעו גם השבת להפגין מול קפה ״בסמטה״ בירושלים. המשטרה חסמה את דרכי הגישה לבית הקפה בניסיון למנוע חיכוך בין הצדדים, אך מספר מפגינים הצליחו להסתנן אל קרבת בית הקפה  במקום התפתח עימות מילולי: המפגינים קראו ״שעבאס״, בעוד מאות חילונים שהגיעו לתמוך בבית בית הקפה השיבו בקריאות ״תתגייסו״ ו-״הביתה״. כוחות המשטרה חצצו בין הצדדים ופעלו לשמירה על הסדר (שלו סגל)",49,363130,15117,239,1590,274,671,190,17617,4.85,0,https://www.tiktok.com/@kan_news/video/7661195784351665429,2026-07-21 10:15,0
7661375417160387861,2026-07-11,23:49,Video,"גוש נתניהו מתערער? המנהיג הרוחני של ש""ס, הרב יצחק יוסף, עקץ את נתניהו וקבע: ""אין שום סיכוי שהוא יחזור בתשובה"". מנגד, על איזנקוט הוא אומר שדווקא יש סיכוי. האם זה רמז ראשון לכך שש""ס לא פוסלת ישיבה בממשלה בראשותו? @daniel.grovais",17,20304,456,14,50,27,33,26,553,2.72,0,https://www.tiktok.com/@kan_news/video/7661375417160387861,2026-07-21 10:15,0
7661263352051764500,2026-07-11,16:34,Video,עושה הסבה מקצועית? הזמר אליאב זוהר מספר על הסיבה שפתח פיצרייה 🍕 #גליקותמר (תמר אלמוג) @ifatglick1,83,92490,2608,40,327,74,119,21,3094,3.35,0,https://www.tiktok.com/@kan_news/video/7661263352051764500,2026-07-21 10:15,0
7661364832884575508,2026-07-11,23:08,Video,"משפחות הפשע אימצו אותו מהר מאוד למשימות חיס!ל, מעשי שוד ושאר משימות שמצריכות הגעה חשאית ומילוט מהיר - תכירו את סו-רון, המחליף של הטימקס היפני (דניאל אלעזר)",581,798127,34305,155,10736,1570,4366,645,49562,6.21,0,https://www.tiktok.com/@kan_news/video/7661364832884575508,2026-07-21 10:15,0
7660808005058907410,2026-07-10,11:07,Video,"במצרים הפסיקו לייצר צ'יפס עם תמונתו של מסי על האריזה, אחרי הזעם הציבורי בעקבות ההפסד לארגנטינה במונדיאל @roikais1987",17,27510,488,29,69,9,23,14,609,2.21,0,https://www.tiktok.com/@kan_news/video/7660808005058907410,2026-07-21 10:15,0
7660862103384902930,2026-07-10,14:37,Video,"שנה בדיוק אחרי שאיבד את שתי רגליו בעזה, הלוחם אלקנה לוי חגג במסיבת הודיה לצד הזמר רביד פלוטניק. חבריו למחלקה הצטרפו לביצוע המרגש ❤️ @haimgoldich 📸: באדיבות איגוד החוות",31,127262,9731,51,188,33,172,27,10142,7.97,0,https://www.tiktok.com/@kan_news/video/7660862103384902930,2026-07-21 10:15,0
7660975241212071188,2026-07-10,21:56,Video,"מיכה כץ, מפורום ""יהלומי קרב"", שזעק בכנסת על חקיקת ""חוק יסוד לימוד תורה"": ""איך אין חוק ללוחמים הגיבורים שאתם מדברים עליהם כל היום?"" (תמר אלמוג, @ifatglick1)",21,25957,1756,27,47,6,52,17,1882,7.25,0,https://www.tiktok.com/@kan_news/video/7660975241212071188,2026-07-21 10:15,0
7660686108094745876,2026-07-10,03:14,Video,"רגע לפני עונת העשור של ""בואו לאכול איתי"": מי הבשלנים שלא תשכחו לעולם? (עופר חלפון)",540,68206,3574,25,240,33,216,10,4055,5.95,0,https://www.tiktok.com/@kan_news/video/7660686108094745876,2026-07-21 10:15,0
7660918875109756167,2026-07-10,18:17,Video,"האדמה בוונצואלה רעדה, אבל האסון התחיל הרבה קודם. כך שחיתות והעלמת עין מחריגות בנייה הופכות רעידה לאסון המוני (מיכל רשף) #סיפור_עולמי",488,63197,2625,36,109,45,189,21,2959,4.68,0,https://www.tiktok.com/@kan_news/video/7660918875109756167,2026-07-21 10:15,0
7660807356955135239,2026-07-10,11:05,Video,"""חמ@ס, חמ@ס, יהודים לגז"": אוהדי נבחרת מרוקו בהולנד בקריאות אנטי$מיות והומו#וביות, אחרי ההפסד אמש לצרפת במונדיאל (עומר שחר, איתמר מרגלית)",20,218978,5711,228,934,160,265,80,7138,3.26,0,https://www.tiktok.com/@kan_news/video/7660807356955135239,2026-07-21 10:15,0
7660985509048519957,2026-07-10,22:36,Video,אנחנו אחרי שראינו את הכתבה 🤝 שקמבה (עופר חלפון),813,51415,523,24,351,190,72,39,970,1.89,0,https://www.tiktok.com/@kan_news/video/7660985509048519957,2026-07-21 10:15,0
7660574467059404050,2026-07-09,20:01,Video,מה עושים כשרואים התקף פוסט טרא1מטי?,52,331137,20179,75,218,35,794,34,21266,6.42,0,https://www.tiktok.com/@kan_news/video/7660574467059404050,2026-07-21 10:15,0
7660446669414354196,2026-07-09,11:45,Video,האויבים והאויבת החדשים של ישראל @riad.alee,623,133726,2164,11,137,70,264,46,2576,1.93,0,https://www.tiktok.com/@kan_news/video/7660446669414354196,2026-07-21 10:15,0
7660448006466030869,2026-07-09,14:10,Video,יוצרי התוכן שלא מפחדים להביע דעה פוליטית ברשתות @annapines_,425,127850,10981,131,159,13,422,11,11693,9.15,0,https://www.tiktok.com/@kan_news/video/7660448006466030869,2026-07-21 10:15,0
7660038590964993301,2026-07-08,09:22,Video,תיעוד ממפרץ אילת: מדוזה קובייתית נדירה אותרה במימי ים סוף - אבל המומחים אומרים שהיא לא מסוכנת (מיכל וסרמן) 📸: רשות הטבע והגנים,7,122208,3195,83,920,215,269,53,4467,3.66,0,https://www.tiktok.com/@kan_news/video/7660038590964993301,2026-07-21 10:15,0
7660063685624286485,2026-07-08,10:59,Video,מה שקרה כשנשיא צרפת מקרון הגיע לביקור בארמון של נשיא טורקיה ארדואן ורצה להגיד שלום אשתו (איתמר מרגלית),7,24467,164,6,19,3,6,5,195,0.8,0,https://www.tiktok.com/@kan_news/video/7660063685624286485,2026-07-21 10:15,0
