story_id,date,time,type,views,reach,replies,shares,total_interactions,profile_visits,follows,taps_forward,taps_back,swipes_forward,exits,exit_rate,permalink,pulled_at
18177416284419900,2026-08-05,19:34,VIDEO,7163,6014,0,5,62,5,0,4791,389,496,378,12.2,https://www.instagram.com/stories/kan_news/3957138562352294158,2026-08-06 08:43
18424043683197446,2026-08-05,22:16,VIDEO,5642,4444,0,4,9,1,0,4318,382,145,217,6.4,https://www.instagram.com/stories/kan_news/3957220109059287932,2026-08-06 08:43
18373383595230294,2026-08-05,19:17,VIDEO,9393,7693,1,5,36,14,1,4566,112,1100,718,19.4,https://www.instagram.com/stories/kan_news/3957129790208739437,2026-08-06 08:43
18145821772477246,2026-08-05,23:04,IMAGE,4801,3696,2,0,7,9,0,2896,176,192,357,11.4,https://www.instagram.com/stories/kan_news/3957243810341894916,2026-08-06 08:42
18124822465745084,2026-08-05,21:24,VIDEO,6298,4880,0,1,30,5,0,4071,456,206,256,7.3,https://www.instagram.com/stories/kan_news/3957193818650072681,2026-08-06 08:43
17875572753688258,2026-08-04,19:24,VIDEO,5740,4935,0,1,8,8,0,4386,159,363,491,14.9,https://www.instagram.com/stories/kan_news/3956408910138713965,2026-08-05 08:46
18124176760684057,2026-08-04,15:01,IMAGE,8657,6880,1,0,10,12,0,5772,157,835,546,16,https://www.instagram.com/stories/kan_news/3956276022886497700,2026-08-05 08:46
18171824395432137,2026-08-04,16:07,VIDEO,7903,6247,2,6,19,9,0,4543,566,409,563,12.3,https://www.instagram.com/stories/kan_news/3956309562017098956,2026-08-05 08:46
18125642023735747,2026-08-04,18:41,VIDEO,6406,5576,3,0,39,7,0,5075,305,279,313,9.2,https://www.instagram.com/stories/kan_news/3956387079079985971,2026-08-05 08:46
18101681318614056,2026-08-03,21:52,IMAGE,5639,4681,3,0,14,10,0,4333,265,231,261,8.7,https://www.instagram.com/stories/kan_news/3955758339975727984,2026-08-04 08:38
18109715834111515,2026-08-03,14:20,VIDEO,10079,8449,2,1,33,20,0,5858,295,1364,949,22.9,https://www.instagram.com/stories/kan_news/3955530597111325692,2026-08-04 08:38
17882611932613794,2026-08-03,23:01,VIDEO,4752,3827,0,0,28,10,0,2987,208,329,418,15.7,https://www.instagram.com/stories/kan_news/3955793066262167357,2026-08-04 08:38
17891648304666332,2026-08-03,21:52,VIDEO,5888,4908,6,2,75,12,0,4323,391,294,207,8.5,https://www.instagram.com/stories/kan_news/3955758124060825142,2026-08-04 08:38
18553540078073615,2026-08-03,21:51,IMAGE,6466,5152,6,1,42,0,0,4340,343,372,253,9.7,https://www.instagram.com/stories/kan_news/3955757990263058100,2026-08-04 08:38
18019710119705622,2026-08-03,18:44,IMAGE,8306,6737,0,0,32,4,0,5162,245,674,522,14.4,https://www.instagram.com/stories/kan_news/3955663637767061420,2026-08-04 08:38
18087624680644877,2026-08-02,17:25,VIDEO,7164,5734,0,1,5,11,0,3766,309,561,447,14.1,https://www.instagram.com/stories/kan_news/3954899263678471538,2026-08-03 08:41
