video_id,date,type,title,duration_sec,views,likes,comments
Lp2FUIzVT8Q,2025-01-14,Regular,חשיפה: כשלים בבדיקות הסמים והאלכוהול של המשטרה - והחוק החדש,134,26640,180,22
zNtGef-sico,2025-01-14,Regular,הלוזרית הגדולה: המלחמה שבה הרשות הפלסטינית הפסידה פעמיים,346,71851,1118,178
8I-qXJYObeQ,2025-01-14,Regular,"""משחרר חרדים משירות"": מתווה הגיוס של כ""ץ - וזעם משפחות החטופים",161,6145,59,22
cvhsuc9eki4,2025-01-14,Regular,מתימן לצור הדסה: רסיס טיל בליסטי פגע בבית - בנס לא היו נפגעים,112,13361,144,50
l6Ffg5UCMCM,2025-01-14,Regular,מי מפחד מוועדת חקירה ממלכתית? התחקיר - והעימותים בכנסת,142,5820,87,35
aT7Iz77RPxI,2025-01-14,Regular,"שיישרף הכסף: החסכונות שלך שוכבים בעו""ש? הבנק שלך מתעשר על חשבונך",128,17889,394,20
Xasim_ZqouI,2025-01-13,Regular,חורף חמים | התחזית 13.01.25,87,1405,23,0
Ue6zbSST1_I,2025-01-13,Regular,חודשיים אחרי שרקטה פגעה בביתה - תמר מתה מפצעיה,126,2199,23,4
08-scwHMv_8,2025-01-13,Regular,אחרי העדויות - קשה שלא לתהות: איך נרמלנו את אייל גולן?,667,91360,778,735
e8pe9ojYETU,2025-01-13,Regular,נותר רק קיר אחד: בית הכנסת העתיק שנחרב בעקבות השריפות בקליפורניה,251,14589,178,177
VB287pfpeIk,2025-01-13,Regular,המהלך שיסיים את המונופול של אל על על הטיסות לארצות הברית?,178,26097,262,31
MH4s51kN-Zo,2025-01-13,Regular,גל פרשות ההתעללות בגני ילדים: הקלטות מגן באור יהודה נחשפות,221,9303,124,50
_zGgGNR7Sao,2025-01-13,Regular,יהונתן עלה לתורה בבית הכנסת בבארי - והתפלל לשובו של דודו אוהד מהשבי,188,2501,43,5
BLdeDWEf_eY,2025-01-13,Regular,רגע לפני שתשוב לבית הלבן: מלאניה מדברת על היחסים עם טראמפ,129,55545,339,23
Ci6Q3iyLCoU,2025-01-13,Regular,תחקיר: התוכנית בסביבת נתניהו לסיכול ועדת חקירה ממלכתית,903,16307,331,169
08WC91qtMN4,2025-01-13,Regular,"אסון בצפון הרצועה: חמישה לוחמי נח""ל נהרגו בקריסת מבנה",150,15564,172,39
yiq44vT_bqk,2025-01-13,Regular,"בזמן ההמתנה לעסקה - ח""כ צעק על אב החטוף: ""הוא יישאר בשבי אם תמשיך כך""",227,10374,115,94
ICPeEFnyapw,2025-01-12,Regular,חטופים בבית וטיילור סוויפט בישראל: הקליפ של יוני בלוך משגע את הרשת,194,64577,1113,157
ApGYmS6yxp8,2025-01-12,Regular,חם מהרגיל ושמשי | התחזית 12.01.25,97,1277,22,4
gebJLmVUvP4,2025-01-12,Regular,חוזרים ללמוד בצפון: מכללת תל חי פותחת מחדש את שעריה,324,22361,60,7
EIrMiFb2qSo,2025-01-12,Regular,הנאצים החדשים בגרמניה: מפלגת הימין הקיצוני שקיבלה תמיכה מאילון מאסק,273,43673,631,537
M4tugdKjcV4,2025-01-12,Regular,נזק של 150 מיליארד דולר: ממדי האסון מהשריפות בהוליווד נחשפים,145,40363,340,81
a7BxICJNTlw,2025-01-12,Regular,"חנות ""בוטיק"" שעומדת להיסגר? עוקץ הדרופ שיפינג בפייסבוק",222,59821,587,137
AuDka9rPQTA,2025-01-12,Regular,"מתכננים חופשה בקרוב? כך פועל הארגון שרודף את חיילי צה""ל בחו""ל",186,20173,238,74
j15fTB43LpU,2025-01-12,Regular,הבשורה הקשה מכול: איך קובעים את מותם של חיילים חטופים?,611,24919,217,11
owVmNBcSgQA,2025-01-12,Regular,"המסר לאיראן, התכנון ושיתוף הפעולה עם ארה""ב: הטייסים שתקפו בתימן מדברים",240,39333,497,57
UZDbPHjbfk8,2025-01-12,Regular,בקואליציה בירכו - באופוזיציה התרעמו: עידן רול פרש מיש עתיד,137,23985,168,70
vm1tCmO0Z0M,2025-01-12,Regular,"מבט מבפנים: הרגעים האחרונים של צה""ל על אדמת לבנון?",376,50337,536,53
fcdieSQDvp0,2025-01-12,Regular,"""אני אהרוג אותך"": הקלטות האימה מגן הילדים בכפר סבא",241,26968,309,142
UBCFM0dn1N0,2025-01-12,Regular,המרוץ להשבת החטופים: המאמצים להגיע לעסקה לפני השבעת טראמפ,137,93933,257,143
u4e-0Hid8E0,2025-01-12,Regular,"עולמן של ארבע משפחות חרב: יהב, דנילה, אליאב ואלכסנדר נפלו בעזה",263,6876,68,19
I56ovzQvoJM,2025-01-12,Shorts,"אמא גלי נפרדת מיהב מעיין ז""ל: ""שלחתי לך הודעה שלעד תישאר עם וי אחד""",33,85259,4037,160
uYKBGN5tSoM,2025-01-12,Regular,"טחינה עם סיפור: כששאול פגש את ""מחיה השומשום הישראלי""",624,100232,983,139
-c3L6QVY_S8,2025-01-11,Regular,"קטנה, מסוכנת ועוקצנית: נמלת האש מתפשטת בישראל",477,56430,511,101
XrtuYI24Lpo,2025-01-11,Shorts,התחממות וגשם מקומי | התחזית 11.01.25,11,2569,20,0
9vXxmrlDkqY,2025-01-11,Regular,דרום אדום? הדילמה של תושבי העוטף לקראת פריחת הכלניות,585,8381,108,12
EbG-2Bgaj3I,2025-01-11,Shorts,“דאג לנו בחייו ודאג לנו במותו”: זוכרים את יגאל ניסים אילוז שנפל בקרב ב-7 באוקטובר,52,83721,2869,36
j9pp3z4_gb8,2025-01-11,Regular,מאחזים בנגב: מה קורה בעיר הדרומית?,764,136648,1598,506
vzPTN5joiqA,2025-01-11,Regular,"""איבדתי את העיניים והתחלתי לראות"": מתן נפצע בעזה ומסתער על החיים",739,62246,1032,148
mRSlpZTVLFw,2025-01-11,Regular,העבריין המורשע הראשון שיכהן כנשיא בארה״ב: טראמפ הורשע ב-34 סעיפים,121,12903,180,86
ZSk6TMCMahM,2025-01-11,Regular,בגלל מחסור במים: הכבאים לא מצליחים להשתלט על השריפות בלוס אנג'לס,192,53503,417,132
HPWUOTgk564,2025-01-11,Regular,"מחבלים חוסלו בג׳באליה, רקטה נורטה מדרום הרצועה: קרבות קשים בעזה",109,16112,184,32
E8m_Ern4_nk,2025-01-11,Regular,"בצל המתח עם הרצי הלוי: סגן הרמטכ""ל פרש מתפקידו",151,22934,167,51
MxdkudIYNCQ,2025-01-11,Shorts,זר לא יבין זאת: משפחתה של שי אשרם ז״ל חגגה לה יום הולדת בבית הקברות עם זמר ובלונים,52,44079,2177,27
3hinco3dIgY,2025-01-11,Regular,חמישים צעירים חרדים התגייסו השבוע לצה״ל במסגרת החטיבה החרדית ״החשמונאים״,86,45277,1889,52
64pmTAht35I,2025-01-11,Regular,אבא של לירי אלבג אחרי פרסום אות החיים מהשבי: ״מי שבעד החטופים הפך לאויב העם״,71,34596,1255,29
NAILR2-xWaM,2025-01-10,Regular,שכונה אליפות: החלום של כפר שלם,959,77835,661,36
gSgXMvsoXGQ,2025-01-10,Regular,התחזית | 10.1.25: התקררות נוספת וגשמים מקומיים,101,1649,25,3
YC1ux-5KM9s,2025-01-10,Regular,"אחריו: מנכ""ל עמותת אחריי פורש אחרי ששינה את חייהם של אלפי נערים",1092,41160,576,80
bSJO7uOGHQw,2025-01-10,Regular,בדרך לפיצוץ: הפיגוע בקדומים וחבית אבק השריפה בשומרון,790,21818,249,68
yfoy-ypVWbk,2025-01-10,Regular,"""הכול דיבורים"": ליברמן נגד ההצהרה של כ""ץ על חיסול חמאס",442,7304,124,40
phwcr-GAdcY,2025-01-10,Regular,"נחטפו יחד, נקברו יחד: החטוף חמזה אל זיאדנה הובא למנוחות ברהט",122,4536,62,38
d1tCtC764GQ,2025-01-10,Regular,הלוחמים הפצועים מדברים על הכול בשלישי-על האש בשיבא,581,25842,405,34
W2cmB4_HBAo,2025-01-10,Regular,"""רוצח"": האלוף שמקדם גיוס חרדים הותקף בבני ברק",191,16833,207,167
a06etCNVW28,2025-01-10,Regular,"תחקיר צה""ל: דיקלה ותומר נהרגו מאש כוחותינו ב-7 באוקטובר",142,10820,82,16
4ioUeBWFFCo,2025-01-10,Regular,"אבא של לירי אלבג על הסרטון מהשבי: ""זו לא לירי, זו לירי אחרת""",457,39200,365,72
9MRCqIdq1IY,2025-01-09,Regular,התחזית 09.01.25 | ירידה בטמפרטורות - וגשם בערב,93,1991,32,3
ymt84cKMkDk,2025-01-09,Regular,"""כל הזכרונות נמחקו"": אלפים איבדו את בתיהם בשריפות הענק בלוס אנג'לס",188,39358,311,135
KPT8IOo22Gs,2025-01-09,Regular,הגיהנום של הוליווד: כוכבי הענק איבדו את בתיהם המפוארים בשריפות הענק,157,38099,312,156
5RPRWE6mSMs,2025-01-09,Regular,"""הפנים של ההזדמנות שנעלמה"": משפחות החטופים שנרצחו בשבי זועקות לעסקה",162,2354,32,5
Wb_KDbz4fU8,2025-01-09,Regular,הובאה למנוחות ביום הולדתה ה-104: הלווייתה של אגדת הספורט היהודייה,303,12036,120,13
1KuS8pWPubQ,2025-01-09,Regular,"פארק היורה, גרסת המציאות? עקבות הדינוזאורים הענקיות שהתגלו בבריטניה 🦕",119,23113,285,134
xd5WPzATvV8,2025-01-09,Regular,"לקעקע את טראמפ על הצוואר: הבקשה של בת ה-9 שהסעירה את ארה""ב",139,5917,61,34
TBDGDusSR0s,2025-01-09,Regular,הגנרל שכבש את לבנון מבפנים: מיהו הנשיא החדש של לבנון?,302,79021,640,65
Ems93_Ya5Q4,2025-01-09,Regular,עושה חשבון נפש ומודה בכישלון הצבאי: הקלטות מפקד אוגדת עזה נחשפות,545,93265,893,481
N73peuDqA8c,2025-01-09,Regular,אחרי חילוץ גופתו: משפחת החטוף יוסף א-זיאדנה נפרדת - ודואגת לבנו שעדיין בשבי,170,11866,146,56
QOKX864YKnw,2025-01-09,Regular,ההתערבות בחוקי יסוד תוגבל: המתווה שישנה את השיטה לבחירת שופטים,195,10442,132,73
2RFxBLl9FHM,2025-01-09,Regular,"נבו, קנאו ומתתיהו יעקב הובאו למנוחות: סיפורי הלוחמים שנפלו בבית חאנון",240,17467,201,23
fcEBim6k-Pw,2025-01-09,Regular,הבריחה הגדולה של רוסיה: מה גרם לפוטין להתקפל במהירות מסוריה? | בשכונה שלנו,371,181285,2364,146
YyszMmqNfP8,2025-01-09,Regular,זר לא יבין זאת: אחוות השכול המיוחדת של ההורים בבית העלמין ברחובות,893,10605,153,26
HlpEWiwJngU,2025-01-08,Regular,התחזית 08.01.25,95,1609,40,2
KMe3U7LNJC8,2025-01-08,Regular,בינה מלאכותית בבתי הספר: האם המורים יצליחו לגשר על הפער?,339,15082,162,40
_7YYRm3E06E,2025-01-08,Regular,"העיניים של המדינה: עם לוחמי צה""ל בחרמון שהפך לשטח צבאי סגור",153,8409,84,15
XhtaUEpwjmA,2025-01-08,Regular,"גל גדות לא ענדה את סיכת החטופים, בגלובוס הזהב מבהירים: לא אסרנו עליה",158,13384,124,68
DmjcarOfPuc,2025-01-08,Regular,משפחות חטופים מול שחקני עבר של נבחרת ישראל: משחק הידידות המרגש,240,3948,58,4
Jbb0Cn8xEac,2025-01-08,Regular,דה ז'ה וו: מצב חירום בסין בעקבות נגיף מסתורי,122,32915,366,119
TX4YdMp_fQk,2025-01-08,Regular,"החייל שזומן לחקירה בברזיל הצליח לשוב הביתה בשלום: ""מבוהל ומאוכזב""",133,14644,144,36
KU9dRVnelEM,2025-01-08,Regular,ובינתיים בכנסת: אלמוג כהן הוצא מקבוצת הוואטסאפ של המפלגה בעקבות הצבעה,192,21909,176,79
27Srzrv4fQ4,2025-01-08,Regular,הכבאים לא מצליחים להשתלט על האש: שריפות ענק בלוס אנג'לס,169,64209,485,138
25WZQnoeby0,2025-01-08,Regular,הצצה לבית הכלא של הנוח׳בות: מתקן הכליאה של המחבלים מטבח 7 באוקטובר,156,91468,839,256
gZb2EUH45-Q,2025-01-08,Regular,תחקיר רצח 6 באוקטובר: משפחות ההרוגים פגשו את הנהג שניסה להציל את בניהם,414,13710,144,16
R-H11TzBDFE,2025-01-08,Regular,"גופתו של החטוף יוסף זיאדנה חולצה מרפיח, חשש לחיי בנו חמזה",161,13067,137,38
eCu-MykMOJA,2025-01-08,Regular,"סערה בעקבות הניסיון של שר הביטחון להסתיר את עמדת צה""ל על גיוס חרדים",178,4763,66,18
G0MgDBFRAvU,2025-01-08,Regular,"שר הביטחון נגד הרמטכ""ל: העימות הפומבי של הצמרת הביטחונית",170,12407,120,56
Q7T9HwbXKkw,2025-01-08,Regular,טבעת אחת שהפכה ל-102 חתונות: הסיפור המדהים במיזם לזכר הבן של אלון,1270,33396,551,47
sJpZJiXM8f8,2025-01-08,Regular,הגיעה כמלווה לבית חולים - ונאנסה על ידי הפסיכיאטר,186,31930,422,150
sAiOT0Hh4ZA,2025-01-08,Regular,המחווה של הטניסאית הבינלאומית להשבת החטופים,198,5255,131,7
R-DpVWdtXuA,2025-01-07,Regular,בניין נטוש עם נוף לים: הקזינו המיתולוגי של חיפה שמעורר בעיר סערה,649,189390,1493,209
XKNGYDJ8fnI,2025-01-07,Regular,"""יש חטופים שהיו ברשימות - וחזרו בארונות"": המגעים לעסקה וחשש המשפחות",128,14923,75,29
fZ3D0Zz7itg,2025-01-07,Regular,דביר לא יפגוש את בנו הקטן: שלושה לוחמים מהנח״ל נפלו בעזה,220,10324,108,18
AmXPKUah87A,2025-01-07,Regular,התקלה שתדחה את רכבי העתיד? הרכב האוטונומי נסע במעגלים - הנוסע נתקע בתוכו,132,17883,162,28
gy17vyLPDN0,2025-01-07,Regular,"""בנינו איגלו והתכרבלנו"": הישראלים שחולצו מפסגת ההר המושלג ביפן משחזרים",176,27839,200,11
zhjq4jTeXGI,2025-01-07,Regular,"שיר, זיכרון: נכדתו של אלכס דנציג שנרצח בשבי חמאס מוציאה אלבום לזכרו",695,5006,130,13
h_S2rKF9Ptc,2025-01-07,Regular,שנה אחרי שנפצע בעזה: הכרטיסים להופעות של עידן עמדי אזלו תוך 5 דקות,160,33489,556,29
mSeJRGlk9Hs,2025-01-07,Regular,הזמר שזייף... מיליון דולר: המפעל להדפסת כספים שהתגלה בדירת הזמר מאשדוד,130,70735,321,128
JrAB232TBHE,2025-01-07,Regular,פרטיזן - ואנטישמי: מכחיש השואה ומנהיג הימין הקיצוני הצרפתי הלך לעולמו,172,10367,115,56
hV2UK3EtUjM,2025-01-07,Regular,"המתלוננת נגד אייל גולן סיפרה בדמעות בכנסת: ""אמרתי 'לא' עשרות פעמים""",209,38852,477,318
Mj_5wQQMsLE,2025-01-07,Regular,דרכן האחרונה: רחל ועליזה שנרצחו בפיגוע הירי בשומרון הובאו למנוחות,274,7642,67,11
eoFr0m5MDnc,2025-01-07,Regular,עדות המחבל שנתפס בעזה: כך השתמש חמאס בבית חולים לפעולות טרור,149,18410,168,34
kh4_NyXhL1s,2025-01-07,Regular,ההצעה הישראלית לעסקה: המסמך בעברית שהועבר לחמאס – והשינויים שעליהם דנים בדוחה,191,26643,194,80
bHWQeCj0Hp8,2025-01-07,Regular,מאיפה יגיעו 30 מיליארד שקל? ההזדמנות ההיסטורית שפספסנו בהמלצה לממשלה,114,19785,776,152
6cTs4i_A7Ig,2025-01-07,Shorts,"חבר הכנסת ואטורי מהליכוד על יאיר גולן, שהציל אנשים ב-7 באוקטובר: ""לא אתפלא אם הוא בגד""",28,18541,282,116
9LGKBm0pGBE,2025-01-07,Shorts,"טאיסיה זמולוצקי, שנחשפה באומץ בכאן 11, הגיעה לדיון מרגש בכנסת",38,38306,937,105
RidKawBMOn4,2025-01-06,Regular,הקאמבק של טראמפ - ארבע שנים אחרי ההסתערות של תומכיו על הקפיטול,190,10919,146,42
vezOiYgmBLQ,2025-01-06,Regular,משלמים כדי לנהוג: המס שיפתור את בעיית הפקקים בניו יורק?,178,20706,194,56
